AADT,Latitude,Longitude,yn,Divided,LaneCount,DGAC,Latex,SMA,PCCP,Age,Friction,Macro,IRI,Gradient,Curvature,LatitudeGPS,LongitudeGps,Crash,lnAADT
20000,37.43548829,-77.43894018,1,0,4,1,0,0,0,9,43.29248241,1.161764706,1.662941176,-2.384705882,0.000205882,37.4356014,-77.43897906,14,9.903487553
12000,37.59751508,-77.49153681,1,1,4,0,0,1,0,8,31.84587332,1.123125,2.924875,-1.86875,0.0003125,37.59757132,-77.49164344,19,9.392661929
34000,37.50840712,-77.67796426,1,1,2,0,1,0,0,3,40.23898752,0.580588235,1.839705882,-0.069411765,0.000294118,37.50848779,-77.67784858,11,10.4341158
162000,37.5768081,-77.46362859,0,1,3,0,0,1,0,4,50.31072457,0.986875,2.2893125,-0.47375,0.00055,37.57669232,-77.46371067,27,11.99535161
52000,37.50628421,-77.60282564,1,1,2,0,1,0,0,6,40.31892194,0.62625,2.3539375,1.123125,0.00015625,37.50622474,-77.60291702,11,10.858999
19000,37.61242327,-77.52037792,1,1,3,1,0,0,0,12,45.53064619,0.844375,1.776,2.816875,0.0003875,37.61239898,-77.52027512,15,9.852194258
11000,37.53820205,-77.4296281,1,1,2,1,0,0,0,6,38.88010237,1.058333333,8.397,-8.349166667,0.000925,37.53817777,-77.42964202,13,9.305650552
3100,37.27067281,-77.411909,1,0,4,1,0,0,0,5,46.01025272,0.601818182,1.774727273,1.192727273,0.0003,37.27056931,-77.41200458,13,8.03915739
52000,37.50595331,-77.60639582,1,1,2,0,1,0,0,6,39.67944658,0.581875,1.6039375,0.34375,0.00030625,37.50585414,-77.60649154,11,10.858999
63000,37.50223564,-77.57389151,0,1,2,0,1,0,0,6,41.69379399,0.6575,1.4905625,1.465,0.00021875,37.50220093,-77.57401605,13,11.05089001
19000,37.61104889,-77.51951829,1,1,3,1,0,0,0,12,44.25169546,0.683125,1.1834375,2.530625,0.00035,37.61107454,-77.51957935,14,9.852194258
16000,37.51828153,-77.37965778,1,0,2,1,0,0,0,3,44.89117083,0.888333333,3.453083333,-0.260833333,0.001158333,37.51830008,-77.37954218,17,9.680344001
133000,37.55388183,-77.44592489,1,1,3,0,0,1,0,6,41.18221369,0.765,1.1046875,-0.446875,0.001,37.55389168,-77.44573487,24,11.79810441
162000,37.5805763,-77.46889902,1,1,3,0,0,1,0,4,42.4931382,0.891875,1.0625625,0.851875,0.00134375,37.58066523,-77.46889129,19,11.99535161
63000,37.50325114,-77.57543258,0,1,2,0,1,0,0,6,41.08629239,0.59125,1.5268125,1.448125,0.00019375,37.50317669,-77.57533149,13,11.05089001
4700,37.64582022,-77.59107845,1,1,3,0,0,1,0,13,45.22689539,0.97875,0.9516875,0.554375,0.000325,37.64568114,-77.59093361,16,8.455317788
23000,37.55944122,-77.44267559,1,1,3,1,0,0,0,11,48.72802303,0.642,3.972333333,0.836,0.001013333,37.55938491,-77.44239584,22,10.04324949
118000,37.60351939,-77.4571638,1,1,3,0,0,1,0,6,46.47387236,0.90625,1.56375,-1.156875,0.00014375,37.60346915,-77.45720733,13,11.6784399
52000,37.49597775,-77.5506657,1,1,2,1,0,0,0,6,42.71695457,0.686153846,1.452846154,0.74,0.000361538,37.49605955,-77.55089091,12,10.858999
77000,37.6488891,-77.59753896,1,1,3,1,0,0,0,4,44.95511836,0.865,1.8643125,1.353125,0.00048125,37.64886909,-77.59749305,12,11.2515607
21000,37.24895629,-77.41068495,1,0,4,1,0,0,0,18,38.65628599,0.610769231,3.475769231,0.346923077,0.000223077,37.24905722,-77.41069367,12,9.952277717
25000,37.28496068,-77.41168119,1,0,4,1,0,0,0,5,45.89834453,0.55875,1.606375,-3.023125,0.00085,37.28502203,-77.41194234,13,10.1266311
43000,37.5044871,-77.61711672,1,1,2,1,0,0,0,6,41.62984645,0.533125,1.1373125,1.705,0.0003375,37.50455341,-77.61701338,13,10.66895539
63000,37.50403668,-77.57667769,1,1,2,0,1,0,0,6,36.03443698,0.61,1.985375,1.479375,0.00064375,37.50412032,-77.57670264,10,11.05089001
